Nom Alliage	Prix (US$/kg)	E (GPa)	Ni	Cr	Fe	C	Cu	Ti	W	Al	Nb	Co	S	P	Mn	Si	Mo	N	Zn	PREN	CCT 	Vcorr (micromètre/an)	T (°K)	[O2] dans le milieu	[HCl]	[Cl-] hors HCL	[Fe3+]	[H2SO4]/[HNO3]	[HBR]	[SO2] . [CO2/H2S]	Fe2SO4	[ions métalliques] [Na-.K-] hors acidifiant	Force appliquée (N.m)	Vitesse du courant (m/s)
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.27	0	0.01	0.32	1	9	0.086	0	40.8	40	130	303.15	0	10	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.28	0	0.02	0.33	1	9	0.087	0	40.8	40	130	298.15	0	30	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.29	0	0.03	0.34	1	9	0.088	0	40.8	40	130	300.15	0	20	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.30	0	0.04	0.35	1	9	0.089	0	40.8	40	510	312.65	0	10	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.31	0	0.05	0.36	1	9	0.090	0	40.8	40	510	312.65	0	20	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.32	0	0.06	0.37	1	9	0.091	0	40.8	40	510	312.65	0	30	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.33	0	0.07	0.38	1	9	0.092	0	40.8	40	510	312.65	0	40	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.34	0	0.08	0.39	1	9	0.093	0	40.8	40	1300	326.15	0	10	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.35	0	0.09	0.40	1	9	0.094	0	40.8	40	1300	328.15	0	20	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.36	0	0.10	0.41	1	9	0.095	0	40.8	40	1300	336.15	0	30	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.37	0	0.11	0.42	1	9	0.096	0	40.8	40	130	358.15	0	0	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.38	0	0.12	0.43	1	9	0.097	0	40.8	40	130	355.15	0	0	0	0	20	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.39	0	0.13	0.44	1	9	0.098	0	40.8	40	130	350.15	0	0	0	0	40	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.40	0	0.14	0.45	1	9	0.099	0	40.8	40	130	336.15	0	0	0	0	60	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.41	0	0.15	0.46	1	9	0.100	0	40.8	40	130	311.15	0	0	0	0	80	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.42	0	0.16	0.47	1	9	0.101	0	40.8	40	130	363.65	0	0	0	0	100	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.43	0	0.17	0.48	1	9	0.102	0	40.8	40	510	366.15	0	0	0	0	0	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.44	0	0.18	0.49	1	9	0.103	0	40.8	40	510	366.15	0	0	0	0	20	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.45	0	0.19	0.50	1	9	0.104	0	40.8	40	510	350.15	0	0	0	0	40	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.46	0	0.20	0.51	1	9	0.105	0	40.8	40	510	338.65	0	0	0	0	60	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.47	0	0.21	0.52	1	9	0.106	0	40.8	40	510	319.15	0	0	0	0	80	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.48	0	0.22	0.53	1	9	0.107	0	40.8	40	510	313.15	0	0	0	0	100	0	0	0	0	0	0
N0625	43.18	206	62	22	5	0.1	0.5	0.4	0	0.13	3.5	0.48	0	0.22	0.53	1	9	0.107	0	40.8	40	100	313.15	0	0	5	0	0.5	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	298.5	0	0	1	0	0	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	298.5	0	0	1	0	10	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	298.5	0	0	1	0	20	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	298.5	0	0	1	0	30	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	150	298.5	0	0	1	0	40	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	70	298.5	0	0	1	0	50	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	50	298.5	0	0	1	0	60	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	298.5	0	0	1	0	70	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	325.5	0	0	1	0	0	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	325.5	0	0	1	0	10	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	400	325.5	0	0	1	0	20	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	850	325.5	0	0	1	0	30	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	800	325.5	0	0	1	0	40	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	500	325.5	0	0	1	0	50	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	300	325.5	0	0	1	0	60	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	325.5	0	0	1	0	70	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	311.5	0	0	1	0	0	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	311.5	0	0	1	0	10	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	311.5	0	0	1	0	20	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	400	311.5	0	0	1	0	30	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	400	311.5	0	0	1	0	40	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	300	311.5	0	0	1	0	50	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	311.5	0	0	1	0	60	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	20	311.5	0	0	1	0	70	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	10	339.5	0	0	1	0	0	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	200	339.5	0	0	1	0	10	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	1700	339.5	0	0	1	0	20	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	1900	339.5	0	0	1	0	30	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	2100	339.5	0	0	1	0	40	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	1400	339.5	0	0	1	0	50	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	700	339.5	0	0	1	0	60	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	200	339.5	0	0	1	0	70	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	373.5	0	0	0	0	10	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	358.5	0	0	0	0	20	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	363.5	0	0	0	0	30	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	368.5	0	0	0	0	40	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	348.5	0	0	0	0	50	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	343.5	0	0	0	0	60	0	0	0	0	0	0
N06030	80	202	43	30	15	0.03	2	0	1.5	0	0	5	0.020	0	0	0.8	5.5	0	0	48	37.5	100	343.5	0	0	0	0	70	0	0	0	0	0	0
